รายการรูปหมวด "สัตว์" — 60 ตัว (คละยาก-ง่าย)
=========================================
วิธีใช้: หารูป (พื้นหลังขาว/โปร่งใส เห็นชัด) เซฟลงโฟลเดอร์นี้
        ตั้งชื่อไฟล์ตรงตามคอลัมน์ "ไฟล์" เป๊ะๆ (.png)
        ยังไม่มีรูป → เกมโชว์อีโมจิแทนชั่วคราว ไม่พัง

ลำดับ | ระดับ | คำตอบในเกม          | ไฟล์ที่ต้องเซฟ
------+-------+---------------------+--------------------------
 1   | ง่าย  | หมา                 | dog.png
 2   | ง่าย  | แมว                 | cat.png
 3   | ง่าย  | ช้าง                | elephant.png
 4   | ง่าย  | สิงโต               | lion.png
 5   | ง่าย  | เสือ                | tiger.png
 6   | ง่าย  | หมี                 | bear.png
 7   | ง่าย  | ม้า                 | horse.png
 8   | ง่าย  | กระต่าย             | rabbit.png
 9   | ง่าย  | หมู                 | pig.png
 10  | ง่าย  | วัว                 | cow.png
 11  | ง่าย  | ไก่                 | chicken.png
 12  | ง่าย  | เป็ด                | duck.png
 13  | ง่าย  | แกะ                 | sheep.png
 14  | ง่าย  | ยีราฟ               | giraffe.png
 15  | ง่าย  | ม้าลาย              | zebra.png
 16  | ง่าย  | ลิง                 | monkey.png
 17  | ง่าย  | หมาป่า              | wolf.png
 18  | ง่าย  | จิ้งจอก             | fox.png
 19  | กลาง  | แพนด้า              | panda.png
 20  | กลาง  | โคอาลา              | koala.png
 21  | กลาง  | จิงโจ้              | kangaroo.png
 22  | กลาง  | เพนกวิน             | penguin.png
 23  | กลาง  | นกฮูก               | owl.png
 24  | กลาง  | นกยูง               | peacock.png
 25  | กลาง  | ฟลามิงโก            | flamingo.png
 26  | กลาง  | โลมา                | dolphin.png
 27  | กลาง  | ฉลาม                | shark.png
 28  | กลาง  | ปลาวาฬ              | whale.png
 29  | กลาง  | เต่า                | turtle.png
 30  | กลาง  | งู                  | snake.png
 31  | กลาง  | จระเข้              | crocodile.png
 32  | กลาง  | กิ้งก่า             | lizard.png
 33  | กลาง  | แมงมุม              | spider.png
 34  | กลาง  | ผีเสื้อ             | butterfly.png
 35  | กลาง  | แมงป่อง             | scorpion.png
 36  | กลาง  | ปู                  | crab.png
 37  | กลาง  | กุ้ง                | shrimp.png
 38  | กลาง  | ปลาหมึก             | octopus.png
 39  | กลาง  | เม่น                | hedgehog.png
 40  | ยาก   | ตัวลิ่น             | pangolin.png
 41  | ยาก   | ตัวกินมด            | anteater.png
 42  | ยาก   | คาปิบารา            | capybara.png
 43  | ยาก   | อัลปากา             | alpaca.png
 44  | ยาก   | สลอท                | sloth.png
 45  | ยาก   | นาก                 | otter.png
 46  | ยาก   | มีร์แคต             | meerkat.png
 47  | ยาก   | อาร์มาดิลโล         | armadillo.png
 48  | ยาก   | เลเมอร์             | lemur.png
 49  | ยาก   | ตุ่นปากเป็ด         | platypus.png
 50  | ยาก   | กอริลลา             | gorilla.png
 51  | ยาก   | อุรังอุตัง          | orangutan.png
 52  | ยาก   | นกทูแคน             | toucan.png
 53  | ยาก   | นกกระจอกเทศ         | ostrich.png
 54  | ยาก   | นกเงือก             | hornbill.png
 55  | ยาก   | ม้าน้ำ              | seahorse.png
 56  | ยาก   | แมงกะพรุน           | jellyfish.png
 57  | ยาก   | วอลรัส              | walrus.png
 58  | ยาก   | แมวน้ำ              | seal.png
 59  | ยาก   | ไฮยีน่า             | hyena.png
 60  | ยาก   | สมเสร็จ             | tapir.png

เคล็ดลับหารูป:
- เสิร์ช "<ชื่อ ENG> png transparent" เช่น "pangolin png transparent"
- ตัวยากๆ (ลิ่น/มีร์แคต/สมเสร็จ/วอลรัส) เลือกรูปเต็มตัวชัดๆ จะทายสนุก
- พื้นหลังโปร่งใส/ขาว เกมย่อให้พอดี
